index,brand,sum_correct_recall,n_attempts,sum_incorrect_recall,recall_percentage,hit_count,false_alarm_count,correct_rejection_count,miss_count,total_old,total_new,hit_rate,false_alarm_rate,correct_rejection_rate,miss_rate,accuracy_correct,accuracy_incorrect,overall_accuracy,hits_fas,d_prime,Ease of Spelling (NLP),Frequency (NLP),Type Token Ratio (NLP),Automated Readability Index (NLP),Flesch Reading Ease (NLP),Flesch Kincaid Grade Level (NLP),Coleman Liau Index (NLP),Age of Acquisition (NLP),Orthographic Neighborhood Size (NLP),Orthographic Levenshtein Distance (NLP),Phonological Levenshtein Distance (NLP),Phonological Neighborhood Size (NLP),Length,Pronoun We (HR),Pronoun You (HR),Alliteration (HR),Prevalence (NLP),Arousal (HR),Arousal (NLP),Valence (HR),Valence (NLP),Dominance (NLP),Dominance (HR),Liking (HR),Concreteness (HR),Concreteness (NLP),Imageability (HR),Imageability (NLP),Slogan Brand Functional Fit (HR),Slogan Brand Personality Fit (HR),Slogan Brand Fit 1 (LLM),Slogan Brand Fit 2 (LLM),Creativity (HR),Humor (HR),Humor (NLP),Surprise (NLP),Closest Slogan Similarity (LLM),Wordplay (HR),Metaphor (HR),Distinctiveness Within Category (HR),Distinctiveness in General (HR),Distinctiveness (LLM),Slogan Semantic Density (LLM),Hyperbole (HR),Closest Brand Similarity (LLM)
Every beat counts,Fitbit,5,199,194,0.025125628,163,23,151,36,199,174,0.8190954773869347,0.132183908,0.867816092,0.1809045226130653,314,59,0.8418230563002681,0.6869115693409577,2.012237201,7,4.996688655648602,-1,-3.62,62.79000000000002,-5.246666667,-3.333333333,-5.175,16.666666666666668,-1.366666667,-1.683333333,29,3,0,0,0,2.354927316,4.117647058823529,4.5760000000000005,2.5294117647058822,4.955,5.258,4.117647058823529,3.1666666666666665,3.1666666666666665,3.125,3.4444444444444446,3.5440000000000005,5.428571428571429,6,1.048427643,0.77717361,3.5,2.055555555555556,2.184210526,2.713092296,0.12015684,1,1,4.136363636363637,3.5625,0.12254573,0.58070481,0,0.154655725
Every bite a better burger,Smashburger,13,197,184,0.065989848,170,30,152,27,197,182,0.8629441624365483,0.1648351648351648,0.8351648351648352,0.1370558375634517,322,57,0.8496042216358839,0.6981089976013835,2.052746474,7,5.513630759605186,-1,-1.794,49.48000000000002,-7.6,-3.8,-4.172,17,-1.1375,-1.43,31.6,5,0,0,1,2.2957636519227007,4.444444444444445,4.697,2.8947368421052637,6.0634999999999994,5.5,4.947368421052632,3.947368421052632,4.947368421052632,3.004,4.894736842105263,4.672,5.4375,5.923076923076923,1.168527719,0.88482576,3.1578947368421053,2.421052631578948,2.243243243,6.283876272,0.082433954,0,0,4.1875,3.64,0.118378282,0.503373307,0,0.090238021
Every cookie has a mission - to help girls do great things,Girl Scout Cookies,139,179,40,0.776536313,162,4,199,17,179,203,0.905027933,0.019704433,0.9802955665024632,0.094972067,361,21,0.9450261780104712,0.885323499,3.310514244502172,7.1,5.925043973318049,-1,-2.5175,80.30636363636367,-4.790909091,-5.763636364,-4.5825,15.7,-1.375,-1.404545455,33.54545454545455,12,0,0,0,2.3343821277794947,4.8125,5.3398,4.388888888888889,6.410200000000001,5.5638,4.7368421052631575,4.333333333333333,5.526315789473684,2.5024999999999995,5.2631578947368425,3.9516,6.142857142857143,5.6,1.186185788,0.883129894,4.052631578947368,1.7894736842105263,2.323861471,7.372803252,0.154965753,0,0,4.416666666666667,4.176470588235294,0.128294237,0.598561419,0,0.113836182
Every day you get our best!,Wegmans,7,187,180,0.037433155,99,27,167,88,187,194,0.5294117647058824,0.1391752577319587,0.8608247422680413,0.4705882352941176,266,115,0.6981627296587927,0.3902365069739236,1.149120782,7.333333333333333,6.279384970199369,-1,1.16,73.84500000000001,-4.45,0.4333333333333335,-3.943333333,26.83333333333333,-1.033333333,-1.208333333,49.16666666666666,6,1,1,0,2.3647870745302297,5.380952380952381,5.091,3.761904761904762,7.059,6.090999999999999,5.25,3.857142857142857,2.952380952380953,2.7099999999999995,4.476190476190476,2.8585000000000003,5.2727272727272725,5.25,1.001970045,0.751993664,2.857142857142857,1.7142857142857142,2.214285714,5.63897821,0.104947928,0,0,3.75,2.739130434782609,0.108922352,0.527082655,1,0.124318582
"Every day, care",Whirlpool,1,194,193,0.005154639,138,36,147,56,194,183,0.711340206,0.1967213114754098,0.8032786885245902,0.2886597938144329,285,92,0.7559681697612732,0.5146188947101572,1.4015933058623795,7,5.776000590835146,-1,-0.48,62.79000000000002,-5.246666667,2.4666666666666632,-4.45,31,-1.116666667,-1.316666667,59,3,0,0,0,2.397281492370246,4.055555555555555,4.738,3.3684210526315788,6.845000000000001,5.479,4.944444444444445,3.684210526315789,3.736842105263158,2.8433333333333333,3.263157894736842,2.95,4.941176470588236,4.722222222222222,1.004045367,0.754288633,3,1.8421052631578947,2.151260504,4.770092576,0.098307859,0,0,3.6666666666666665,2.9166666666666665,0.121853401,0.536067747,0,0.120287877
"Every day, every way",Save-A-Lot,0,186,186,0,106,38,153,80,186,191,0.5698924731182796,0.1989528795811518,0.8010471204188482,0.4301075268817204,259,118,0.6870026525198939,0.3709395935371278,1.014911302651009,7,5.883716926065401,-0.75,-0.5875,33.57500000000002,-9.57,-3.55E-15,-4.3225,24,-1.2,-1.4625,53.5,4,0,0,1,2.446012533443676,4.166666666666667,4.182,2.333333333333333,5.971,5.364,4.869565217391305,3.75,3.458333333333333,2.705,2.833333333333333,2.688,4.222222222222222,3.6,1.029278786,0.7825978,2.9166666666666665,2.125,2.214285714,5.292980809,0.098307859,0,0,4.043478260869565,3.357142857142857,0.102796049,0.504948862,0,0.147007135
Every revolution needs a soundtrack,Skullcandy,2,194,192,0.010309278,155,16,174,39,194,190,0.7989690721649485,0.084210526,0.9157894736842104,0.2010309278350515,329,55,0.8567708333333334,0.714758546,2.1958390963668104,5.75,5.065455228307883,-1,-10.272,15.640000000000017,-12.32,-14.24,-6.4125,4.25,-2.1625,-2.66,14,5,0,0,0,2.3205984682905325,5,5.3255,2.5,5.8385,5.843999999999999,5.777777777777778,5.2105263157894735,3.5789473684210527,2.64,3.842105263157895,3.707500000000001,3.8125,5.142857142857143,1.021314243,0.744794144,3.8947368421052633,3.05,2.367346939,6.286256502,0.166649035,0,1,4.176470588235294,3.75,0.145545263,0.629349399,0,0.133959719
Everyone can take on the world,Virgin Atlantic,3,202,199,0.014851485,81,30,160,121,202,190,0.400990099,0.1578947368421052,0.8421052631578947,0.599009901,241,151,0.6147959183673469,0.2430953621677957,0.7462260391308086,6.666666666666667,6.390991789991195,-1,-1.195,87.94500000000002,-2.483333333,-3.433333333,-4.471666667,23.33333333333333,-1.333333333,-1.791666667,33.5,6,0,0,0,2.3173479812886035,5.285714285714286,5.0855,3.642857142857143,5.5295,5.6305,7.357142857142857,4.466666666666667,2.466666666666667,3.2616666666666667,3.2666666666666666,5.0715,4.727272727272728,5.2,0.987897351,0.739750885,3.066666666666667,1.5333333333333334,2,5.506454268,0.113938176,0,1,4.037037037037037,3.7222222222222223,0.108925703,0.521517207,0,0.112220938
Everything about the music,Hot Topic,0,207,207,0,145,13,170,62,207,183,0.7004830917874396,0.071038251,0.9289617486338798,0.2995169082125604,315,75,0.8076923076923077,0.6294448404213194,1.974164556290248,6.75,6.255961092558502,-1,-7.6525,33.57500000000002,-9.57,-10.15,-4.325,8.75,-1.875,-2.9,5.25,4,0,0,0,2.3985057588354994,4.45,6.753,2.095238095238096,7.3425,6.4495000000000005,5.25,4.047619047619048,3.6666666666666665,2.4525,4.238095238095238,4.1325,3.5625,4.0625,1.029366828,0.758470115,3,1.9523809523809523,2.5,5.38104005,0.169265239,0,0,4.565217391304348,3.3125,0.138946955,0.60786872,0,0.143643143
Everything for everyone,Children's Place,0,180,180,0,120,51,149,60,180,200,0.6666666666666666,0.255,0.745,0.3333333333333333,269,111,0.7078947368421052,0.4116666666666666,1.083242701366706,6.333333333333333,6.012049225987009,-1,-13.04,6.390000000000015,-13.11333333,-14.93333333,-4.553333333,11.333333333333334,-2.3,-3.183333333,19.666666666666668,3,0,0,0,2.313761857772922,3.8,5.735,3.066666666666667,6.714,5.813,5.285714285714286,3.533333333333333,2.933333333333333,2.283333333333333,3.2,3,4.222222222222222,3.7857142857142856,1.023642089,0.780898419,2.533333333333333,1.5333333333333334,,3.560039442,0.058086438,0,0,3.3157894736842106,3.1578947368421053,0.104684358,0.477791643,0,0.122676939
Everything you need moving forward,Courtyard by Marriott,0,208,208,0,148,67,103,60,208,170,0.7115384615384616,0.3941176470588235,0.6058823529411764,0.2884615384615384,251,127,0.6640211640211641,0.317420814,0.8219170681076062,6.6,5.8969565102119175,-1,-9.33,49.48000000000002,-7.6,-13.08,-4.1475,9.8,-1.7,-2.14,26.8,5,0,1,0,2.4054875192738683,4.666666666666667,5.5395,3.0625,5.251,4.573,5.647058823529412,4.117647058823529,2.823529411764706,2.916,2.764705882352941,2.879,3.909090909090909,3.764705882352941,1.007273239,0.759082698,3,1.4705882352941178,1.9,4.585989499,0.140002545,0,0,3.272727272727273,3.363636363636364,0.108620729,0.551019535,1,0.082416441
Everything you want to hear lives here,SiriusXM,3,203,200,0.014778325,140,33,133,63,203,166,0.6896551724137931,0.1987951807228915,0.8012048192771084,0.3103448275862069,273,96,0.7398373983739838,0.4908599916909015,1.331725232754323,6.857142857142858,6.396514965524014,-1,-3.601428571,90.95857142857145,-2.311428571,-6.485714286,-4.073333333,24,-1.292857143,-1.592857143,38.57142857142857,7,0,1,0,2.270271506,4.0344827586206895,5.055,6.65625,6.401,5.6795,5.096774193548387,3.6666666666666665,3.6774193548387095,2.78,4.258064516129032,3.015,5.78125,5.46875,1.035885937,0.777347755,3.774193548387097,2.096774193548387,1.970588235,5.678933068,0.145691372,1,1,3.875,3.625,0.11558417,0.571182208,1,0.147909706
Everything you've always wanted in a beer. And less,Miller Lite,42,187,145,0.2245989304812834,159,24,154,28,187,178,0.8502673796791443,0.1348314606741573,0.8651685393258427,0.1497326203208556,313,52,0.8575342465753425,0.715435919,2.1240968866564263,6.875,5.658374355,-1,-5.573333333,75.50000000000003,-4.964444444,-7.333333333,-4.66,14.125,-1.63125,-2.205555556,24.5,9,0,1,0,2.2238196991725743,3.5,5.456,3.0526315789473686,6.128500000000001,5.583,4.526315789473684,2.789473684210526,4,2.52,3.8,4.857,4.2105263157894735,5.1875,1.119384657,0.833432443,3.45,2.2,2.806451613,8.756322294,0.137643707,1,0,2.857142857142857,3.928571428571429,0.137060406,0.557461743,0,0.100857921
Everything's $1,Dollar Tree,111,197,86,0.5634517766497462,185,9,173,12,197,182,0.9390862944162436,0.049450549,0.9505494505494504,0.060913706,358,21,0.9445910290237468,0.8896357449656942,3.1555929466554566,5,,-1,-12.54,35.60500000000002,-8.79,-4.2,,0,-5.1,-5.9,0,2,0,0,0,,5.105263157894737,,2.631578947368421,,,5.380952380952381,4.476190476190476,5.095238095238095,,5.333333333333333,,5.095238095238095,5.416666666666667,1.108520313,0.832798012,2.7142857142857144,1.4761904761904765,,5.659295518,0.168382172,0,0,2.588235294117647,2.857142857142857,0.137400406,0.608451087,0,0.08333597
Everywhere you want to be,Visa,30,208,178,0.1442307692307692,151,60,108,57,208,168,0.7259615384615384,0.3571428571428571,0.6428571428571429,0.2740384615384615,259,117,0.6888297872340425,0.3688186813186813,0.9612432298884572,6.8,6.577792666964347,-1,-0.852,83.32000000000004,-2.88,-2.64,-4.636,26.4,-1.45,-1.57,65.8,5,0,1,0,2.2486276701953254,4.947368421052632,,3.473684210526316,,,4.95,4.523809523809524,3.857142857142857,2.2880000000000003,5.190476190476191,,5.333333333333333,5.8,1.017418541,0.776568716,3.631578947368421,2.0476190476190474,1.970588235,3.491661096,0.099421023,0,0,3.4285714285714284,2.857142857142857,0.103299652,0.517910678,1,0.149545242
Expect great things,Kohl's,11,199,188,0.055276382,145,56,123,54,199,179,0.7286432160804021,0.3128491620111732,0.6871508379888268,0.271356784,268,110,0.708994709,0.4157940540692288,1.0901264269849595,6.666666666666667,5.589957119328193,-1,-6.76,90.99000000000004,-1.313333333,-7.2,-6.875,5,-1.65,-1.783333333,13,3,0,0,0,2.338731142234182,4.478260869565218,6.212,3.391304347826087,8.229,6.636,4.869565217391305,4.208333333333333,3.25,1.85,3.583333333333333,2.875,4.214285714285714,4.294117647058823,0.985122304,0.742091288,2.708333333333333,1.6956521739130437,2.485714286,10.28425478,0.120637821,0,0,3.3,2.7333333333333334,0.101694637,0.529570014,1,0.100539955
Expect more. Pay less.,Target,28,184,156,0.1521739130434782,174,81,115,10,184,196,0.9456521739130436,0.413265306,0.5867346938775511,0.054347826,289,91,0.7605263157894737,0.5323868677905945,1.8006193032914348,7,5.394872311746564,-1,-2.9425,97.025,-0.72,-1.45,-5.993333333,25,-1.15,-1.3125,56.75,4,0,0,0,2.400316926945836,4.111111111111111,,2.85,,,5.35,4.2631578947368425,3.65,2.6425,4.3,,5.176470588235294,5.625,1.037479773,0.77369383,3.65,2.3,,8.142281709,0.130507518,0,0,2.458333333333333,2.4827586206896552,0.132776971,0.539734354,0,0.150186698
Expect something extra,CVS,2,173,171,0.011560694,99,28,174,74,173,202,0.5722543352601156,0.1386138613861386,0.8613861386138614,0.4277456647398844,273,102,0.728,0.433640474,1.2596087262604494,6.333333333333333,5.321070019030185,-1,-11.47,34.59000000000003,-9.18,-13,-6.62,1.6666666666666667,-2.05,-3.3,1,3,0,0,0,2.315360075504952,5.409090909090909,,3,,,5.714285714285714,4.545454545454546,2.9545454545454546,2.056666666666666,3.772727272727273,,4,5.368421052631579,1.009286749,0.755121578,3.863636363636364,1.9090909090909087,2.19047619,10.18932742,0.118536521,0,0,3.857142857142857,3.0434782608695654,0.122104043,0.5567643,0,0.079321455
Experience what's inside,Intel,23,195,172,0.1179487179487179,141,48,134,54,195,182,0.7230769230769231,0.2637362637362637,0.7362637362637363,0.2769230769230769,275,102,0.7294429708222812,0.4593406593406593,1.2165333086672558,6.333333333333333,4.470205047384977,-1,-14.61,6.390000000000015,-13.11333333,-14.93333333,-6.86,3.333333333333333,-2.133333333,-2.766666667,3.333333333333333,3,0,0,0,2.5017414503729904,4.388888888888889,,2.3684210526315788,,,5.684210526315789,4.6,3.45,2.735,4.4,,4.95,4.875,1.004389376,0.765320478,3.45,1.8,,7.200700381,0.132756492,0,0,3.583333333333333,2.2,0.107897092,0.546589466,0,0.112981208
Expertise from our kitchen and yours,Betty Crocker,2,196,194,0.010204082,145,21,155,51,196,176,0.7397959183673469,0.1193181818181818,0.8806818181818182,0.2602040816326531,300,72,0.8064516129032258,0.6204777365491652,1.8066447842701403,6.833333333333333,5.543007923827306,-1,-5.905,59.745000000000005,-6.416666667,-9.233333333,-5.36,12.166666666666666,-1.458333333,-2.641666667,8.166666666666666,6,1,1,0,2.3105704075618525,3.6206896551724137,,6.46875,,,4.645161290322581,4,4.870967741935484,2.3466666666666667,4.580645161290323,,5.9375,5.65625,1.039170887,0.782266501,2.935483870967742,1.5806451612903225,2.15625,8.62328705,0.133714185,0,0,3.28125,3.625,0.12429295,0.555883785,0,0.129622123
Fair and balanced,Fox News Channel,46,186,140,0.2473118279569892,124,24,163,62,186,187,0.6666666666666666,0.1283422459893048,0.8716577540106952,0.3333333333333333,287,86,0.7694369973190348,0.5383244206773619,1.5531611151412263,6.666666666666667,5.160120159861436,-1,-3.62,90.99000000000004,-1.313333333,-3.333333333,-6.106666667,15.666666666666666,-1.233333333,-2.2,25,3,0,0,0,2.305015198056187,3.588235294117647,4.406,2.647058823529412,7.118,6.063,4.470588235294118,3.588235294117647,2.647058823529412,2.2333333333333334,3.0588235294117645,3.125,3.2222222222222223,3.3125,1.073883069,0.821685552,2.235294117647059,1.3529411764705883,2.153846154,4.224842447,0.111063577,0,0,2.764705882352941,2,0.120705559,0.57227561,0,0.045039364
"Fair, trustworthy and dependable",XM,0,197,197,0,112,28,164,85,197,192,0.5685279187817259,0.1458333333333333,0.8541666666666666,0.4314720812182741,276,113,0.7095115681233933,0.4226945854483925,1.2182329114381767,5.5,4.649514211896609,-1,-14.7175,12.425000000000011,-12.52,-17.4,-6.7675,11.25,-1.9375,-3.9875,18.5,4,0,0,0,2.379132005148283,3.6666666666666665,5.0365,3.842105263157895,7.8495,6.343999999999999,5.5,3.952380952380953,3.095238095238096,2.04,3.523809523809524,3.2075,4.833333333333333,4.9375,1.004270635,0.767544482,2.2857142857142856,1.809523809523809,2.153846154,11.19822436,0.109756189,0,0,2.769230769230769,2.7222222222222223,0.118701445,0.543770494,0,0.087353944
Famous for steakburgers,Steak 'n Shake,55,183,128,0.3005464480874317,169,12,169,14,183,181,0.9234972677595628,0.066298343,0.9337016574585636,0.076502732,338,26,0.9285714285714286,0.8571989252181265,2.8988442928320133,5.666666666666667,5.745470568,-1,-13.04,34.59000000000003,-9.18,-14.93333333,-5.615,12.666666666666666,-2.633333333,-1.375,30.5,3,0,0,0,2.349767959435371,3.588235294117647,6.303,1.9411764705882355,5.879,6,4.428571428571429,3.4444444444444446,5.944444444444445,1.85,5,3.882,5.588235294117647,5.357142857142857,1.153570799,0.875886843,2.3529411764705883,1.7777777777777777,,5.515079306,0.104807145,0,0,3.090909090909091,3.1904761904761907,0.140947629,0.543750929,0,0.07415923
Fashion and quality at the best price,H&M,9,175,166,0.051428571,124,31,166,51,175,197,0.7085714285714285,0.1573604060913705,0.8426395939086294,0.2914285714285714,290,82,0.7795698924731183,0.5512110224800579,1.5439664807547198,6.571428571428571,5.710913649844746,-1,-2.928571429,78.87285714285717,-3.997142857,-5.657142857,-5.858571429,21.714285714285715,-1.25,-1.892857143,19.142857142857142,7,0,0,0,2.353350426471587,3.888888888888889,5.921666666666667,3.0588235294117645,7.382666666666666,6.091333333333334,5.117647058823529,4.111111111111111,4.722222222222222,2.2657142857142856,5.055555555555555,4.048,5.052631578947368,5.133333333333334,1.084477257,0.822433083,2.333333333333333,1.3888888888888888,2.096774194,7.41272905,0.114958319,0,0,2.0526315789473686,2.75,0.123307331,0.524162254,0,0.138409136
Fashion is fleeting; style is forever,Tommy Hilfiger,3,203,200,0.014778325,167,32,147,36,203,179,0.8226600985221675,0.1787709497206704,0.8212290502793296,0.1773399014778325,314,68,0.8219895287958116,0.6438891488014971,1.832732651750847,6.333333333333333,5.139829530056328,-0.833333333,-6.69,59.745000000000005,-6.416666667,-9.233333333,-7.89,11.5,-1.458333333,-1.833333333,15.166666666666666,6,0,0,0,2.220909758608306,4.7,6.119,2.4545454545454546,6.558999999999999,5.714,4.904761904761905,4.636363636363637,3.954545454545455,2.155,4,4.885999999999999,5.055555555555555,5.521739130434782,1.08419343,0.806802514,4.636363636363637,2.3181818181818183,2.269230769,8.318475845,0.04503391,0,1,3.411764705882353,4.157894736842105,0.130872401,0.504829858,0,0.127509627
Fashion is for everyone,Forever 21,0,194,194,0,150,42,140,44,194,182,0.7731958762886598,0.2307692307692307,0.7692307692307693,0.2268041237113402,290,86,0.7712765957446809,0.5424266455194291,1.4762592768995098,6.5,5.862010338586616,-1,-4.12,54.72500000000002,-6.62,-5.8,-5.806666667,15.5,-1.6,-1.9375,24,4,0,0,0,2.276696837,3.888888888888889,6.324,2.55,6.677,5.485,5.4,3.75,4.15,2.3925,4.2,5.515,4.764705882352941,5.25,1.098797136,0.822320505,2.35,1.5,,6.105845018,0.084536247,0,0,2.6,2.423076923076923,0.121503156,0.499547876,0,0.148825109
"Fashions fade, style is eternal",Yves Saint Laurent,13,209,196,0.062200957,162,23,162,47,209,185,0.7751196172248804,0.1243243243243243,0.8756756756756757,0.2248803827751196,324,70,0.8223350253807107,0.650795293,1.8952959453846647,6.4,4.431518910300643,-1,-6.504,66.40000000000003,-5.24,-8.44,-7.596666667,14.2,-1.49,-1.76,20.8,5,0,0,0,2.2560867584889106,4,4.638999999999999,2.789473684210526,5.16,5.0775,5.35,4.05,3.75,2.125,4.1,3.894,5.733333333333333,6.055555555555555,1.065249116,0.798085378,3.85,1.85,2.269230769,8.899270653,0.04503391,0,1,3.2777777777777777,3.647058823529412,0.127236592,0.502026677,0,0.124654943
"Fast, safe, social payments",Venmo,33,206,173,0.1601941747572815,179,10,162,27,206,172,0.8689320388349514,0.058139535,0.9418604651162792,0.1310679611650485,341,37,0.902116402,0.8107925039512305,2.6619953606809026,6.75,4.616043186959944,-1,-8.83,75.87500000000001,-3.67,-8.7,-6.426666667,10.25,-1.4875,-1.675,14.75,4,0,0,1,2.375909752846422,3.2,5.718666666666668,2.333333333333333,7.095666666666666,6.098333333333333,4.4375,4.125,4.3125,3,4,4.137,5.833333333333333,5.722222222222222,1.130478482,0.835089796,3.1333333333333333,2.4705882352941178,2.204752275,11.58696991,0.0936729,0,0,3.117647058823529,4.117647058823529,0.148478848,0.604958905,0,0.094936376
Fast. Trusted. Headache relief. It's what we do.,Excedrin,37,202,165,0.1831683168316831,177,23,155,25,202,178,0.8762376237623762,0.1292134831460674,0.8707865168539326,0.1237623762376237,332,48,0.8736842105263158,0.7470241406163088,2.267701057741982,6.875,5.455477160938729,-1,-6.70875,82.39000000000001,-3.755,-6.6,-5.123333333,16.875,-1.43125,-1.675,40.25,8,1,0,1,2.298369351518594,3.65,4.8285,2.7,4.6855,4.588,4.5,3.9,4.55,2.73,5.05,4.512499999999999,5.65,6.277777777777778,1.119174972,0.836457334,2.8,1.65,2.1834120143333333,9.988184559,0.163428082,0,0,3,3.125,0.138244096,0.596881148,0,0.12938033
Fearless,FXX,0,193,193,0,131,15,164,62,193,179,0.6787564766839378,0.083798883,0.9162011173184358,0.3212435233160621,295,77,0.793010753,0.5949575940023736,1.8267514859116136,5,3.4765255729620588,-1,-16.75,36.62000000000003,-8.4,-1,-9.37,3,-1.75,-2.15,0,1,0,0,0,2.239636919830065,5.117647058823529,,3.6666666666666665,,,6.941176470588236,4.333333333333333,3,1.9,4.055555555555555,,3.0625,4.5,1.04599766,0.811953008,3.1666666666666665,2.055555555555556,,0,0.099807483,0,0,4,2.523809523809524,0.109270467,0.549107818,0,0.130466108
Feed your adventure,Clif,12,198,186,0.060606061,151,53,129,47,198,182,0.7626262626262627,0.2912087912087912,0.7087912087912088,0.2373737373737373,280,100,0.7368421052631579,0.4714174714174714,1.2570448366813831,6.333333333333333,5.187901301709073,-1,-6.76,62.79000000000002,-5.246666667,-7.2,-4.646666667,14.333333333333334,-1.416666667,-2.333333333,31,3,0,1,0,2.4396016541747394,3.8125,7.853,3.117647058823529,7.971,7.313,6.470588235294118,4.833333333333333,3.2777777777777777,3.043333333333333,4.5,4.743,4.833333333333333,4.705882352941177,1.011431699,0.769867517,3.888888888888889,2.1666666666666665,2.486486486,8.141857493,0.089012585,0,1,3.9,3.333333333333333,0.104256803,0.519420572,0,0.130549147
Feed your bear,Bear Naked,1,208,207,0.004807692,188,14,165,20,208,179,0.903846154,0.078212291,0.9217877094972068,0.096153846,353,34,0.9121447028423773,0.8256338633433605,2.693878484383088,7,5.398033053700689,-1,1.09,119.19000000000004,2.619999999999999,2.4666666666666632,-3.95,25,-1,-0.883333333,56.333333333333336,3,0,1,0,2.362832016696568,4.95,5.394,2.35,4.831,5.077,5.2105263157894735,3.684210526315789,3.35,3.806666666666666,4.45,6.571,5.181818181818182,5,1.108162106,0.837946956,4.3,3.95,2.35990991,6.254136755,0.118993696,0,1,4.722222222222222,5,0.123414067,0.563016723,0,0.161640277
Feed your wild side!,Jack's Links Beef Jerky,22,179,157,0.1229050279329608,138,41,153,41,179,194,0.770949721,0.211340206,0.788659794,0.2290502793296089,291,82,0.7801608579088471,0.559609514,1.5336913823561522,7,5.373957604146844,-1,-0.5875,118.175,2.229999999999998,-3.55E-15,-4.775,22.5,-1.0375,-0.9375,42.75,4,0,1,0,2.478163763807909,6.285714285714286,6.912,2.857142857142857,5.576,6.424,6.35,4.714285714285714,3.4761904761904763,3.1575,4.190476190476191,4.571,5.285714285714286,5.909090909090909,1.044677644,0.786097556,4.428571428571429,3.619047619047619,2.398187006666667,6.013669443,0.10767503,0,1,3.5,2.590909090909091,0.119570297,0.552966556,0,0.135594279
Feel free,Norwegian Cruise Lines,0,192,192,0,90,39,165,102,192,204,0.46875,0.1911764705882352,0.8088235294117647,0.53125,255,141,0.6439393939393939,0.2775735294117647,0.7900467197476477,7,5.522785489511552,-1,1.59,120.205,3.01,7.399999999999997,-5.16,17.5,-1.025,-1.1,44,2,0,0,0,2.449407241847431,5.764705882352941,6.886,3.294117647058824,8.029,7,6.411764705882353,4.352941176470588,2.647058823529412,2.16,4.375,3.343,4.454545454545454,5.181818181818182,0.991268681,0.755993745,2.411764705882353,2.0588235294117645,1.851851852,2.878765493,0.121329791,0,0,3.2916666666666665,2.95,0.104187778,0.524965462,0,0.088513105
Feel more,Downy,0,183,183,0,95,30,162,88,183,192,0.5191256830601093,0.15625,0.84375,0.4808743169398907,257,118,0.6853333333333333,0.3628756830601093,1.0502813551401446,7,5.954865361001211,-1,1.59,120.205,3.01,7.399999999999997,-4.445,28,-0.95,-0.9,71,2,0,0,0,2.449407241847431,4.555555555555555,,2.789473684210526,,,5.526315789473684,3.263157894736842,2.6842105263157894,2.325,3.5789473684210527,,4.315789473684211,4.523809523809524,1.016856647,0.765387088,2.473684210526316,1.947368421052632,1.851851852,4.549384042,0.080152441,0,0,3.5384615384615383,3.08,0.114377835,0.518036781,0,0.133455747
Feel the difference,Clearasil,0,170,170,0,117,68,146,53,170,214,0.6882352941176471,0.3177570093457944,0.6822429906542056,0.3117647058823529,263,121,0.6848958333333334,0.3704782847718527,0.9593485009475822,6.333333333333333,6.055478152892458,-1,-6.76,62.79000000000002,-5.246666667,-7.2,-5.48,15.333333333333334,-1.433333333,-2.183333333,29,3,0,0,0,2.32537712,4.176470588235294,,2,,,5.529411764705882,3.3529411764705883,3.4705882352941178,1.9533333333333327,3.0588235294117645,,4.789473684210527,5,0.999675178,0.758392623,2.588235294117647,1.7058823529411764,1.925925926,4.307458131,0.083680971,0,0,2.7333333333333334,2.7058823529411766,0.104590034,0.51744214,0,0.117180547
Feel the good,Pedigree,0,178,178,0,119,51,148,59,178,199,0.6685393258426966,0.2562814070351759,0.7437185929648241,0.3314606741573033,267,110,0.7082228116710876,0.4122579188075207,1.084361510286654,7,6.560465690104473,-1,2.66,119.19000000000004,2.619999999999999,4.4,-4.213333333,20.666666666666668,-0.95,-1.616666667,35,3,0,0,0,2.299453875182909,5.388888888888889,5.853,3.388888888888889,8.152,6.281,5.722222222222222,4.111111111111111,3.7777777777777777,1.7833333333333332,4.222222222222222,3.688,4.136363636363637,4.615384615384615,0.954318291,0.726154704,3.631578947368421,2.210526315789474,2.044346979,4.572046826,0.080152441,0,0,2.6875,2.608695652173913,0.096906626,0.486544266,0,0.177249278
Find new roads,General Motors,0,193,193,0,127,22,158,66,193,180,0.6580310880829016,0.1222222222222222,0.8777777777777778,0.3419689119170984,285,88,0.7640750670241286,0.5358088658606793,1.558588972124247,7,5.245145159236497,-1,1.09,119.19000000000004,2.619999999999999,2.4666666666666632,-5.25,17.333333333333332,-1.166666667,-0.933333333,47.66666666666666,3,0,0,0,2.339047771431657,4.65,6.031,2.65,7.063,5.71,6.4,4.5,3.95,2.72,4.7,4.313,5.035714285714286,5.818181818181818,1.016958615,0.75211414,3.7,1.95,2.205882353,6.348114389,0.113129949,0,1,2.1875,2.9,0.143049315,0.578299272,0,0.09410845
